Keller et al.,„Global CO2 emissions from dry inland waters share common drivers across ecosystems“,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
bio1:,annual mean temperature,,DOI: 10.1002/joc.5086,,,,,,,,,,,,
bio12:,annual precipitation,,DOI: 10.1002/joc.5086,,,,,,,,,,,,
climate,Köppen-geiger climate zone,,http://koeppen-geiger.vu-wien.ac.at/,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CO2 flux dry sediment,CO2 flux uphill,elevation,latitude,longitude,conductivity,organic matter,moisture,ph,air temperature,bio1,bio12,texture,system type,climate zone,team
mmol/m-2/d-1,mmol/m-2/d-1,m,°,°,,%,%,,°C,°C * 10,mm,,,,
305.4116909,144.2228388,31,-34.35381,-59.03922,95.7,8.434165822,57.19536667,7.39,11,164,1029,C,stream,C,A
42.70202858,91.03965957,32,-34.37214,-59.07469,142.4,5.535352486,29.38594213,7.32,5,164,1029,C,stream,C,A
402.8777408,112.6612331,28,-34.38695,-59.11454,141,5.200191418,42.12793109,7.87,16,164,1029,C,stream,C,A
198.06012,174.434173,24,-34.40491,-58.52403,190.3,4.515456215,42.99255985,7.8,15,164,1013,L,reservoir,C,A
2.332596193,105.6690098,36,-35.00098,-59.17226,517,2.535987327,28.28982712,10.41,16,163,1026,C,lake,C,A
133.6363636,46.36363636,1968,39.80991701,45.658471,NaN,NaN,NaN,NaN,20.66666667,70,465,NA,reservoir,D,B
31.2414655,91.71750792,192,-35.05094,147.33072,493,5.438756785,38.31186568,5.106666667,10.5,157,557,C,stream,C,C
51.06035723,70.98939283,254,-35.05717,147.354455,160.3333333,2.272807308,18.99182616,6.413333333,12.8,156,570,L,stream,C,C
4.459329886,33.13486169,225,-35.056345,147.346495,89.66666667,4.229081668,23.33710637,7.156666667,11.7,156,570,C,stream,C,C
36.83786475,63.61942209,224,-35.054517,147.346223,219,4.231697754,35.15252639,5.983333333,11.2,156,570,C,stream,C,C
21.46173697,126.9271519,192,-35.174528,147.367196,3774.666667,2.851297903,26.79907372,6.986666667,14.6,150,647,C,reservoir,C,C
29.70911566,41.22411607,178,-35.073828,147.297284,100.6666667,0.57273053,2.1810379,8.413333333,9.3,157,557,S,stream,C,C
29.29346501,70.0593148,185,-35.086168,147.33424,205.6666667,5.099793567,35.32319122,5.45,13,156,570,C,lake,C,C
5.689750467,52.07394538,182,-35.089487,147.368171,45.66666667,1.121716058,16.6179431,6.01,15.2,156,570,S,stream,C,C
58.46500853,43.64185564,182,-35.103893,147.382953,397.3333333,8.11895348,43.7622845,4.49,11.5,156,570,C,lake,C,C
41.0283569,41.91107657,179,-35.095671,147.394575,194.6666667,3.14073571,22.85705591,4.983333333,14.5,156,570,C,lake,C,C
23.13168333,64.19946355,186,-35.091288,147.46271,268.3333333,3.262864195,30.02567789,5.066666667,13.7,156,570,S,lake,C,C
26.21218884,32.48024252,178,-35.064687,147.193249,373.6666667,4.192116947,21.63101173,5.01,7.5,157,557,C,lake,C,C
66.27372819,109.1401849,179,-35.044224,147.145506,343,5.841079062,32.91044536,4.836666667,10.8,160,529,C,lake,C,C
39.91272454,65.61850768,201,-35.187033,147.243065,30,0.207988092,1.797906764,6.263333333,13.1,153,620,S,stream,C,C
51.00164594,25.39970129,218,-35.264996,147.108005,79.66666667,0.642164822,5.719448086,6.286666667,16.3,156,582,S,stream,C,C
91.68230779,211.8456177,165,-36.034872,146.992422,272,4.39151881,28.98677693,6.103333333,16.7,148,754,L,lake,C,C
147.4939711,160.2612306,165,-36.071089,146.833867,1449.333333,8.069724051,44.78079168,4.78,18.2,148,754,C,lake,C,C
109.3488877,120.5496739,170,-36.486524,146.101246,225,7.909652426,27.47739773,4.716666667,19.9,147,620,C,lake,C,C
149.4762364,153.0073765,170,-36.464126,146.12922,330.6666667,6.902798312,38.48625172,5.18,23,147,620,C,lake,C,C
138.0642184,151.7168412,170,-36.44138,146.145457,249,5.619494809,17.4887204,4.17,24,147,620,C,lake,C,C
281.7481156,403.3341752,118,-16.05098889,-57.68488611,115.2,2.785658403,6.352225372,5.913333333,32.53333333,263,1303,C,lake,A,D
267.3979206,368.5056845,118,-16.08058333,-57.75028333,79.40333333,38.17884866,6.364525497,6.636666667,29.93333333,263,1303,S,lake,A,D
775.2041472,785.2147549,118,-15.97843056,-57.67899444,99.56666667,3.913289783,28.78049427,6.116666667,34,262,1347,S,lake,A,D
363.8729208,268.2292489,118,-18.64248611,-57.87406111,439.6666667,21.26453115,7.626054141,5.196666667,29.5,253,1102,S,lake,A,D
630.1184738,546.7273664,118,-16.71092222,-57.76536111,239.8666667,6.086846062,10.88180505,6.066666667,37,262,1268,L,lake,A,D
211.1051691,990.8662021,118,-16.84373611,-57.58588889,187.4333333,10.36686442,7.23709068,5.833333333,33.26666667,262,1248,S,lake,A,D
195.7935538,105.7346482,118,-16.86233333,-57.65966111,215.9333333,0.310802994,13.29244882,7.23,29.3,262,1248,S,lake,A,D
1838.319215,NaN,118,-16.98125556,-57.60001944,6.14,25.15751692,36.95172752,6.553333333,34.76666667,262,1248,S,lake,A,D
2.787276,11.49075933,500,-22.52345,-44.543133,18.33333333,7.489293881,19.20431345,6.033333333,23.06666667,204,1511,S,reservoir,A,E
25.42866172,169.6592429,169,-21.387433,-42.6547,28,8.850199702,25.1243551,4.856666667,31.56666667,230,1262,S,reservoir,A,E
38.27041606,45.40744396,35,-2.905117,-54.4677,11.33333333,6.896159416,14.05533791,4.766666667,32,255,1922,S,reservoir,A,E
8.92459253,91.96816142,715,-21.6797,-43.39646,3,15.72259068,24.20592179,3.003333333,19.5,200,1504,L,reservoir,C,E
2.041360796,57.20732308,169,-21.4694167,-42.8531,14.33333333,8.553032497,13.95579659,3.66,31.5,212,1402,L,reservoir,A,E
-5.149292306,34.02744073,525,-22.1485,-43.57442,7,6.545422949,19.18669317,4.04,30.63333333,208,1374,L,pond,A,E
4.800349198,92.4314113,35,-2.41705,-54.70996,6.333333333,0.336796823,16.6729747,7.786666667,34.83333333,260,2082,S,stream,A,E
31.1062645,51.02991629,698,-21.617416,-43.452183,29.33333333,7.182049193,22.21653114,4.266666667,23.16666667,202,1551,L,lake,C,E
312.6541152,93.17247026,680,-20.655667,-43.758833,5,6.852814941,29.66172051,3.456666667,23.06666667,193,1443,S,reservoir,C,E
53.29027199,84.37117119,678,-20.518417,-43.69185,159.3333333,28.67559064,23.2751193,7.45,26.2,193,1443,C,reservoir,C,E
72.69497493,39.19193985,908,-20.504517,-43.724833,108,5.305838275,19.99474095,7.573333333,27.36666667,193,1443,S,reservoir,C,E
13.93453613,17.3552696,750,-20.2187,-43.958817,13,7.820165605,20.25199284,5.43,25.16666667,184,1513,S,lake,C,E
47.18958432,30.91197547,750,-20.167867,-43.958383,15.33333333,19.40280148,27.88332443,6.723333333,27.6,184,1513,C,lake,C,E
52.22178303,201.2795962,750,-20.02455,-44.1023,23,11.34888952,37.70509404,4.046666667,25.7,203,1404,C,reservoir,A,E
25.99644024,90.16377487,880,-20.120433,-44.520433,5.333333333,5.749321821,22.7537161,6.026666667,29.13333333,207,1422,C,reservoir,C,E
193.8331418,170.643785,693,-19.670483,-43.950683,180.6666667,19.72450284,38.85385404,7.936666667,30.43333333,214,1363,C,lake,A,E
65.25967061,50.73908005,759,-19.642333,-43.90651,56.66666667,15.86459866,32.78685337,6.953333333,27.9,216,1337,C,lake,A,E
18.35255257,62.42666727,770,-19.6358,-43.886617,79,10.32613876,29.21040291,6.863333333,28.06666667,216,1337,C,lake,A,E
95.19233775,82.00843347,880,-19.6231,-43.9859,108.3333333,17.48569164,47.10486314,7.56,26.66666667,216,1337,C,lake,A,E
34.86235282,48.19917948,902,-19.570467,-44.021667,74.66666667,7.573192428,25.7153029,7.426666667,21.46666667,214,1327,C,lake,A,E
68.89257359,63.55835218,766,-19.472833,-44.159483,89.33333333,6.636011304,47.2484388,7.42,26.53333333,217,1302,C,pond,A,E
55.11512782,187.5952159,760,-19.4521,-44.225983,219,11.98754474,34.32327739,8.12,27.16666667,215,1321,C,lake,A,E
222.5548429,22.19239486,760,-19.450183,-44.251583,179,8.415702194,35.69103095,7.66,24.1,215,1321,C,lake,A,E
-6.042427018,56.84264053,760,-19.734567,-44.1845,147.3333333,0.540095759,17.44089707,8.95,25.9,212,1375,S,pond,C,E
99.30046115,399.3176885,740,-21.58421111,-43.55638889,36,10.12481064,20.528,4.67,23.3,199,1546,C,reservoir,C,E
29.86914765,124.5288489,714,-20.09402,-43.39491,6.666666667,1.031908782,12.82856134,5.02,24,193,1439,S,stream,C,E
111.6344354,79.05582978,1052,-19.9836,-43.54972,25,24.55384175,57.48649253,3.95,20.6,190,1502,C,lake,C,E
9.682956199,41.46685584,1131,-20.45665,-43.57478,14,0.898506957,15.32949289,4.423333333,20.8,176,1591,S,stream,C,E
234.2640604,332.382157,834,-21.447584,-43.486181,26.66666667,10.99216359,57.11599338,4.176666667,27,203,1549,C,reservoir,C,E
37.16862301,17.04499546,766,-21.396348,-45.812958,5,6.223377662,23.32566743,6.19,29.2,205,1451,L,reservoir,C,E
220.9408667,109.5026833,20,30.30916667,114.9447222,171.3,0.59790309,80.07830655,6.79,31,169,1387,S,pond,C,F
310.8404,244.4547667,23,30.30694444,114.9458333,82.06666667,0.280749464,88.22682117,7.343333333,32,169,1387,L,pond,C,F
240.8497,406.6836,20,30.52194444,114.9033333,109.9,0.604962164,75.18204544,6.056666667,28,171,1322,C,lake,C,F
263.0191333,564.6488333,20,30.495,114.9269444,179.4,0.734512315,74.68577071,7.006666667,29,171,1352,C,pond,C,F
384.8802,409.12,17,30.36611111,114.9466667,385.5666667,0.770457875,74.77197392,6.84,28,171,1352,S,pond,C,F
364.21,677.9,20,30.505,114.9533333,150.6333333,1.129187123,68.10155362,6.936666667,26,171,1322,L,pond,C,F
304.2166667,234.3,23,30.32111111,114.9963889,104.1,0.516271625,75.27961658,7.17,30,169,1387,C,stream,C,F
297.6866667,1098.053333,18,30.22694444,114.7688889,259.8333333,1.111080226,66.47823072,7.576666667,31,172,1352,C,stream,C,F
-2.645645527,165.4689658,1133,44.926583,5.32203,76.03333333,0.533554168,5.673206969,8.69,18.36666667,78,1026,S,stream,C,G
50.9465053,284.7093879,1034,44.927183,5.42056,73.2,2.337237739,26.07576073,8.656666667,19.2,63,1106,S,stream,C,G
225.1041802,96.57829574,367,45.9736833,4.52726,25.46333333,2.022242725,2.53347989,8.403333333,20.6,106,788,S,stream,C,G
52.79586759,196.3387284,658,45.857116,5.6218,99.13333333,2.365344714,47.75373757,8.453333333,16.43333333,83,1105,S,stream,C,G
63.46880072,76.43486584,352,43.3349,6.01965,160.3,17.82989487,11.49605233,7.993333333,33.9,131,746,S,stream,C,G
54.74219996,30.59647065,301,43.31913,6.032883,285.9333333,4.603995347,1.616080177,8.08,30.03333333,137,736,S,stream,C,G
24.09348448,1091.915651,415.124664,46.44593496,5.428626006,45.76666667,3.900739753,4.833002985,8.5,24.3,100,939,S,stream,C,H
241.7886644,572.0591456,650.470398,46.02798996,5.525940992,37.5,4.398076769,5.082929303,8.436666667,23.1,80,1133,C,stream,C,H
166.304484,375.6262495,415.124664,46.00175402,5.677941022,42.83333333,4.846897361,5.19605732,8.73,19.6,81,1144,C,stream,C,H
121.3293995,176.5829495,972.104065,45.966933,5.624557016,50.83333333,5.110628548,5.7203691,8.476666667,20,83,1105,C,stream,C,H
59.62537228,274.1286687,502.59,45.881026,5.488253,54.63333333,4.340018062,4.954558704,8.793333333,15.9,98,966,L,stream,C,H
42.98,216.1566667,36,58.2636111,26.4333333,277.6666667,0.887333333,19.332,7.466666667,20.5,51,616,S,lake,D,I
399.1833333,261.17,54,58.2316125,26.4057753,313.6666667,1.868,16.93266667,7.233333333,21,51,616,S,lake,D,I
226.18,312.9033333,107,58.1940886,26.5722204,180,0.924666667,25.14533333,7.066666667,21.8,49,610,S,lake,D,I
485.2133333,173.6166667,116,58.0295253,26.4572194,370,10.96711111,85.23833333,6.733333333,15,48,629,NA,lake,D,I
36.24333333,217.2566667,61,57.9311111,27.3419444,46.66666667,15.49376932,81.41609058,3.933333333,10.4,49,618,NA,lake,D,I
241.22,229.7466667,63,57.9408,27.3471,22.43333333,6.505333333,43.48466667,6.733333333,16.7,49,618,S,lake,D,I
116.1833333,205.77,28,58.6521982,27.456452,162,0.541333333,5.003333333,8.166666667,20.4,49,608,S,lake,D,I
334.1533333,306.6733333,2,59.0689212,23.5205889,2940,4.838488344,32.43837808,7.4,20.5,56,590,C,lake,D,I
110.3666667,289.5533333,79,57.7120099,26.4942556,70.66666667,1.504609663,25.74244579,5.7,15.7,51,633,S,lake,D,I
45.43,246.9833333,33,58.3103994,26.0113726,80,0.38074546,20.6939717,8.166666667,17.9,53,621,S,lake,D,I
525,1007.333333,292,51.567311,11.185351,176.6666667,13.08617234,73.8240481,5.783333333,25.66666667,76,628,L,reservoir,C,J
177.3333333,436.6666667,260,51.561786,11.222149,45.6,1.666666667,8.2,7.27,19.33333333,76,628,S,stream,C,J
105.3333333,152.3333333,155,51.216841,14.477432,2055.333333,0.045832651,0.568127665,4.306666667,18,86,590,C,pond,C,J
87,560.6666667,160,51.222303,14.444752,862.3333333,0.031820373,0.537325053,7.25,14.66666667,86,590,C,reservoir,C,J
28.16666667,240.1666667,245,51.186447,9.05847,31.83333333,2.400634271,7.740189655,7.106,7,81,846,S,reservoir,C,J
101.8,NaN,240,51.188087,8.926825,106.2666667,8.612700991,50.42114815,5.767666667,7.333333333,80,887,S,reservoir,C,J
2968.333333,375,345,43.217952,-1.782532,142.6666667,19.33333333,41,5.38,32,126,1336,S,reservoir,C,J
-27,-6.333333333,995,40.940838,-1.465767,402.6666667,3.8,2.466666667,8.663333333,23,101,455,S,lake,C,J
13.66666667,15,1900,40.19497502,45.582367,269.6666667,5.058727456,1.868071578,7.966666667,25,61,536,S,lake,D,J
325.0261087,322.8415381,66,53.36746944,13.74271667,238.6666667,9.627285447,48.29764014,7.536666667,15,84,565,C,pond,C,K
265.2139446,260.4667405,73,53.36244444,13.72711667,201.8333333,11.53196377,65.76422797,4.483333333,15,84,565,L,pond,C,K
403.8475753,450.7981494,90,53.39651667,13.66756667,86.43333333,10.00263126,45.40890018,5.736666667,13,84,565,C,pond,C,K
252.0506498,264.1952233,66,53.32781111,13.72154167,100.1333333,12.14458679,33.84100289,5.036666667,12,85,564,S,pond,C,K
255.9225357,325.4879787,76,53.38584167,13.69921389,146.6666667,13.82926299,75.30860836,5.333333333,14,84,565,S,pond,C,K
228.8863791,359.7706511,85,53.38654722,13.689225,171,8.091477945,57.53403385,4.623333333,15,84,565,C,pond,C,K
556.7768273,299.1744255,89,53.30628333,13.55969167,66.76666667,7.102713936,41.33648985,5.726666667,15.7,82,576,C,pond,C,K
980.4270787,1256.437234,98,53.30330278,13.54194167,152,13.79761335,56.06571338,6.223333333,15.5,82,576,L,pond,C,K
470.1938958,277.135964,103,53.31775278,13.52887222,74.33333333,13.21311192,83.65118192,5.523333333,16.3,82,576,S,pond,C,K
229.9870458,188.5286262,95,53.31534444,13.53951667,181,2.255288841,20.9647969,6.626666667,NaN,82,576,C,pond,C,K
45.56200647,45.56200647,30,74.465451,-20.575205,99.66666667,NaN,25.19339565,6.282,6.366666667,-115,268,S,pond,E,L
183.5910257,55.09964618,30,74.462351,-20.571274,29.8,NaN,73.22077402,6.421,6.1,-115,268,L,pond,E,L
14.13745376,52.03517895,30,74.462654,-20.579627,54,NaN,20.68624296,6.139666667,4.9,-115,268,S,pond,E,L
25.85959613,69.86478095,75,74.494098,-20.575143,185.7,NaN,5.569579015,7.341,2.7,-115,268,C,stream,E,L
148.2121765,54.00167523,75,74.483638,-20.584666,57.63333333,NaN,78.37859398,6.377666667,1.033333333,-115,268,S,pond,E,L
22.40438807,48.43617305,30,74.468942,-20.573596,354,NaN,9.944311146,6.903,5,-115,268,S,pond,E,L
74.58457227,323.6318793,210,46.194113,11.131329,268.6666667,0.617333333,23.41266667,8.103333333,22.56666667,93,798,S,stream,C,M
106.7480351,424.3870236,823,46.137245,10.966097,112.8666667,0.873184823,16.6491177,8.516666667,21.20121972,67,823,C,lake,D,M
410.4191635,308.1141149,553,46.354468,11.059274,188.4,3.192666667,24.042,8.1,27.59833333,73,756,S,reservoir,C,M
219.4095888,335.6959996,782,45.987251,10.679557,110.6,5.770343354,73.45768708,7.193333333,19.15318182,70,777,C,lake,D,M
54.57544816,182.4662454,1178,46.259039,10.945614,66.06666667,6.170666667,59.04733333,7.896666667,12.6675469,35,793,L,lake,D,M
36.65917411,68.66988551,1498,46.798068,10.534903,41.16666667,1.207075094,15.34641534,8.68,9.58789916,16,1010,S,reservoir,E,M
23.12095243,42.62666273,1690,46.735553,10.843902,20.33333333,2.075082726,17.40052912,6.65,15.23878788,-14,1289,S,reservoir,E,M
64.15513937,114.836002,1141,46.539273,10.985744,17.40666667,3.312843326,12.45947632,6.966666667,18.86502233,35,884,S,reservoir,E,M
135.9615515,80.11649696,1251,46.704141,12.217812,100.8333333,4.656010205,44.27446821,7.656666667,7.313449715,25,1004,C,lake,D,M
34.48211899,55.0402235,1519,46.409992,11.575401,54.46666667,4.810902858,22.97995573,7.876666667,4.878681159,34,886,S,lake,E,M
30.09757296,24.48899278,1489,46.69724,12.084422,107.6666667,4.602982241,51.74622398,7.59,3.166534993,32,949,S,lake,D,M
125.1750467,103.7281013,425,41.36716712,15.22648569,152.3,3.297186723,10.1,7.59,29,143,570,S,stream,C,N
153.3078537,398.392952,405,41.37402176,15.22075975,218,4.232171148,8.473205482,7.11,29,143,570,S,stream,C,N
161.0885029,164.406375,380,41.40665744,15.19468425,176,2.819326904,26.20793151,6.83,24,143,570,C,stream,C,N
96.97110583,361.3345546,334,41.44447748,15.17937062,237,3.848827586,9.678344828,6.9,36,143,570,S,stream,C,N
76.76732801,273.7792578,350,41.47286549,15.15999993,158,3.68976737,8.057947276,7.34,24,125,601,L,stream,C,N
269.8333,261.5389667,215,38.0016,128.109833,55.63333333,2.926666667,30.81666667,6.013333333,35.93333333,89,1285,S,reservoir,D,O
382.4427033,296.5277067,238,38.000283,128.049583,57.8,4.613333333,42.57666667,5.79,35.23333333,89,1285,S,reservoir,D,O
15.74615862,88.97829315,17,29.446538,116.050419,36.484,1.65415,0.6523,3.44345,14,175,1745,C,lake,C,P
139.4659763,NaN,15,29.03649,116.228355,90,3.0872,0.9977,5.4,17,177,1371,C,lake,C,P
348.3773114,183.7992343,5,14.89558333,-17.06288889,20333.33333,10.50687429,28.00588323,7.926666667,38.4,256,459,C,lake,B,Q
1907.391346,2425.09902,5,14.89080556,-17.12427778,39033.33333,6.618312294,37.6713439,7.09,41.93333333,256,459,C,lake,B,Q
285.0427068,87.25983176,5,14.86036111,-17.19402778,31966.66667,11.69098397,32.596042,8.18,40.56666667,254,464,L,lake,B,Q
1618.140199,342.8789682,12,14.79763889,-17.22952778,347.6666667,5.217862944,7.96698938,8.07,30.1,254,488,S,stream,B,Q
410.189,109.8033667,953,38.45,-2.0451,117.2666667,4.033333333,4.276666667,8.41,25.75,144,397,S,stream,B,R
63.59,-0.970666667,112,37.94932,-1.06602,3300,1.54,7.08,8.69,27,172,321,S,stream,B,R
41.05233333,37.82266667,1048,38.16094,-2.22029,94.73333333,0.586666667,1.416666667,8.486666667,34,114,562,S,stream,C,R
240.5816667,224.153,1183,38.1481,-2.08655,72.8,1.066666667,2.066666667,8.126666667,29.5,124,500,S,stream,C,R
-10.55913333,25.7346,263,38.23155,-1.08863,2315,2.1,4.996666667,8.646666667,30,161,361,L,stream,B,R
22.64033333,20.692,202,38.23135,-1.05221,2826.666667,1.57,0.726666667,8.933333333,35,161,361,S,stream,B,R
7.552333333,7.718,175,38.204817,-1.085236,4036.666667,1.206666667,16.27666667,8.04,27,161,361,S,stream,B,R
58.278,36.31633333,192,38.22447,-1.05473,1516.333333,0.636666667,12.42666667,8.633333333,28.83333333,161,361,L,stream,B,R
107.5323333,142.0966667,1130,38.191,-2.19978,497.6666667,0.896666667,2.75,7.733333333,34,129,478,S,stream,C,R
24.52666667,60.46533333,920,38.084969,-2.008727,109.9666667,1.45,3.203333333,8.436666667,22,124,500,L,stream,C,R
398.0466667,511.9966667,387,42.991472,-2.444322,65.33333333,3.338771254,11.05454714,8.32,16.76666667,110,974,S,stream,C,S
199.8799333,756.0986667,386,42.991813,-2.444522,88,2.247551112,10.74337256,8.316666667,15.86666667,110,974,S,stream,C,S
85.835,327.4613333,479,42.994084,-2.426489,43,2.692467451,12.71597022,7.41,16.56666667,110,974,S,stream,C,S
76.16666667,169.6666667,627,42.977455,-2.403233,34.33333333,3.783109092,11.0377429,7.356666667,15.83333333,110,974,S,stream,C,S
77.03333333,592.4333333,616,42.978603,-2.402551,56.66666667,3.246456626,6.017424338,8.29,15.86666667,110,974,S,stream,C,S
110.4666667,383.7666667,337,43.024335,-2.483829,89,5.517641998,22.95343389,7.29,20.1,124,1105,L,reservoir,C,S
165.0333333,280.6,546,42.9504477,-2.5881165,105.3333333,1.138688816,6.979619823,8.22,20.46666667,116,932,S,reservoir,C,S
65.8,370.4,553,43.0129658,-2.6459804,70.66666667,2.968587743,24.5179436,5.626666667,16.96666667,122,1075,C,reservoir,C,S
14.43333333,441.5,607,43.004707,-2.628892,41.66666667,2.505301551,20.53810235,5.41,27.2,122,1075,L,reservoir,C,S
125.5333333,833.1333333,268,37.191636,22.365151,622,2.730165994,2.25996286,7.91,30.4,133,803,S,stream,C,S
-0.104355157,20.71250425,12,37.569634,-1.14928,40.1,0.726578436,0.122672236,9.03,29,175,312,S,stream,B,T
0.459740164,33.65644474,347,37.622699,-1.575785,44.96666667,0.490278122,0.31541685,9.063333333,40,159,345,S,stream,B,T
-5.557951823,16.18094843,62,37.58844,-1.186554,48.46666667,0.382995597,0.212176185,9.003333333,44,174,306,S,stream,B,T
99.59466664,45.41748888,63,37.598943,-1.252708,76.7,0.929243484,0.332387699,8.686666667,40,174,306,S,stream,B,T
52.3861819,23.85809485,4,37.616732,-1.37199,106.7666667,0.624038228,0.249827868,9.053333333,35.5,172,304,S,stream,B,T
28.52808705,57.98806102,250,37.57559,-1.442959,39.03333333,1.402391151,0.36770935,8.506666667,43,172,304,S,stream,B,T
11.50138547,12.55816555,3,37.595706,-1.341145,207.2333333,0.801611677,0.722551595,8.483333333,31,172,304,S,stream,B,T
-1.993288424,101.0702456,101,37.551457,-1.427022,393.3333333,0.876643561,0.313202309,8.093333333,38,172,304,S,stream,B,T
221.4584119,77.81707205,449,37.631932,-1.582421,32.16666667,0.38284064,0.224572135,8.156666667,34,159,345,S,stream,B,T
134.2925217,54.58809532,3,37.673042,-1.428722,3.793333333,2.841512404,6.773541739,8.393333333,22,172,306,L,stream,B,T
105.4192593,95.45197113,614,41.178893,-0.831614,676,1.86066009,31.0436173,8.013333333,23.16666667,131,381,C,reservoir,B,U
78.01394204,114.2285538,579,40.987204,-0.692665,502.3333333,2.217406774,45.70002046,8.053333333,30.93333333,112,449,C,reservoir,B,U
259.5830293,245.3803228,580,40.772571,-0.317741,277,1.686121841,34.37847401,8.1,33.86666667,123,497,L,reservoir,C,U
151.723942,261.2744677,430,41.940372,1.193775,301.6,1.575345994,22.65083368,8.286666667,24.3,131,642,S,reservoir,C,U
85.50063963,165.6022231,500,42.179722,0.913056,621.6666667,0.826005881,16.19348688,8.82,29.16666667,101,859,S,reservoir,C,U
101.6065418,206.7574979,495,41.430591,1.25854,62.3,0.867035299,4.7502855,9.21,17.83333333,135,625,S,stream,C,V
108.5875982,857.7575979,480,41.453698,1.262998,145.7333333,16.22606474,12.85754472,8.556666667,20.66666667,135,625,L,stream,C,V
36.87455424,420.0524262,566,41.362651,1.060399,785.6666667,0.73481824,1.221967732,8.363333333,30.86666667,130,627,S,stream,C,V
72.52285918,272.6570585,688,41.351388,1.024157,491.0333333,1.159883248,2.933416197,8.653333333,26.33333333,130,627,S,stream,C,V
92.20827395,303.3906317,576,41.363916,1.046266,8.07,1.214190632,2.065067641,8.42,33.76666667,130,627,S,stream,C,V
269.7780693,710.3915874,932,41.317552,0.983353,28.6,1.01766039,7.337945124,8.633333333,19.96666667,128,642,S,stream,C,V
26.1424277,224.058505,473,41.254686,0.91179,NaN,1.717149504,5.856192442,NaN,20.9,128,642,S,reservoir,C,V
761.6973228,114.8256626,275,41.187161,0.841553,102.2333333,3.387931174,6.487780137,8.146666667,20.2,128,642,S,stream,C,V
90.29076499,353.108274,166,41.084998,0.934173,39.23333333,1.385137703,2.492333448,9.33,23.76666667,149,587,S,stream,C,V
411.4065848,148.9885161,214,40.920577,0.675918,108.8333333,45.99875796,15.28805357,8.6,28.3,157,578,L,pond,C,V
610.1643375,145.1299023,399,40.881979,0.650935,232.5666667,8.356100645,10.87169496,8.89,29.06666667,153,568,L,pond,C,V
109.34,24.3,735,40.69,31.52,1510.666667,28.35230461,20.08122912,8.246666667,25.33333333,98,628,C,reservoir,C,W
26.73333333,6.426666667,1043,40.42,30.95,548,10.25258964,6.657370518,8.72,18.36666667,92,625,L,lake,C,W
89.58,23.96666667,1100,40.76,31.51,230.6666667,19.06666667,9.333333333,7.746666667,19.06666667,98,628,L,pond,C,W
388.03,16.43333333,1280,40.766067,-112.161517,58332.33333,8.666666667,52.53333333,8.083333333,28.66666667,106,418,C,lake,B,X
25.82666667,-10.29333333,1760,40.44785,-114.1646,71.33333333,2,0.533333333,9.156666667,29.33333333,91,195,S,stream,B,X
93.55333333,-43.76333333,2260,39.030683,-114.665883,201.2333333,8.2,1.4,8.296666667,29.66666667,69,315,L,stream,D,X
14.50333333,-11.07666667,1636,39.065883,-113.739983,61.36666667,1.2,0,8.843333333,38,92,236,S,stream,B,X
187.35,19.46,1370,39.066683,-113.201417,27500.66667,3.533333333,13.53333333,8.343333333,35.66666667,96,214,S,lake,B,X
